id,name,nametype,recclass,mass,year,reclat,reclong,coordinates
1,Aachen,Valid,L5,21.0,1880-01-01,50.775,6.08333,"[6, 50]"
2,Aarhus,Valid,H6,720.0,1951-01-01,56.18333,10.23333,"[10, 56]"
6,Abee,Valid,EH4,107000.0,1952-01-01,54.21667,-113.0,"[-113, 54]"
10,Acapulco,Valid,Acapulcoite,1914.0,1976-01-01,16.88333,-99.9,"[-99, 16]"
370,Achiras,Valid,L6,780.0,1902-01-01,-33.16667,-64.95,"[-64, -33]"
379,Adhi Kot,Valid,EH4,4239.0,1919-01-01,32.1,71.8,"[71, 32]"
390,Adzhi-Bogdo (stone),Valid,LL3-6,910.0,1949-01-01,44.83333,95.16667,"[95, 44]"
392,Agen,Valid,H5,30000.0,1814-01-01,44.21667,0.61667,"[0, 44]"
398,Aguada,Valid,L6,1620.0,1930-01-01,-31.6,-65.23333,"[-65, -31]"
417,Aguila Blanca,Valid,L,1440.0,1920-01-01,-30.86667,-64.55,"[-64, -30]"
423,Aioun el Atrouss,Valid,Diogenite-pm,1000.0,1974-01-01,16.39806,-9.57028,"[-9, 16]"
424,Aïr,Valid,L6,24000.0,1925-01-01,19.08333,8.38333,"[8, 19]"
426,Akaba,Valid,L6,779.0,1949-01-01,29.51667,35.05,"[35, 29]"
427,Akbarpur,Valid,H4,1800.0,1838-01-01,29.71667,77.95,"[77, 29]"
432,Akwanga,Valid,H,3000.0,1959-01-01,8.91667,8.43333,"[8, 8]"
433,Akyumak,Valid,"Iron, IVA",50000.0,1981-01-01,39.91667,42.81667,"[42, 39]"
446,Al Rais,Valid,CR2-an,160.0,1957-01-01,24.41667,39.51667,"[39, 24]"
447,Al Zarnkh,Valid,LL5,700.0,2001-01-01,13.66033,28.96,"[28, 13]"
448,Alais,Valid,CI1,6000.0,1806-01-01,44.11667,4.08333,"[4, 44]"
453,Albareto,Valid,L/LL4,2000.0,1766-01-01,44.65,11.01667,"[11, 44]"
454,Alberta,Valid,L,625.0,1949-01-01,2.0,22.66667,"[22, 2]"
458,Alby sur Chéran,Valid,Eucrite-mmict,252.0,2002-01-01,45.82133,6.01533,"[6, 45]"
461,Aldsworth,Valid,LL5,700.0,1835-01-01,51.78333,-1.78333,"[-1, 51]"
462,Aleppo,Valid,L6,3200.0,1873-01-01,36.23333,37.13333,"[37, 36]"
463,Alessandria,Valid,H5,908.0,1860-01-01,44.88333,8.75,"[8, 44]"
465,Alexandrovsky,Valid,H4,9251.0,1900-01-01,50.95,31.81667,"[31, 50]"
466,Alfianello,Valid,L6,228000.0,1883-01-01,45.26667,10.15,"[10, 45]"
2276,Allegan,Valid,H5,32000.0,1899-01-01,42.53333,-85.88333,"[-85, 42]"
2278,Allende,Valid,CV3,2000000.0,1969-01-01,26.96667,-105.31667,"[-105, 26]"
48915,Almahata Sitta,Valid,Ureilite-an,3950.0,2008-01-01,20.74575,32.41275,"[32, 20]"
2284,Alta'ameem,Valid,LL5,6000.0,1977-01-01,35.27333,44.21556,"[44, 35]"
2290,Ambapur Nagla,Valid,H5,6400.0,1895-01-01,27.66667,78.25,"[78, 27]"
2294,Andhara,Valid,Stone-uncl,2700.0,1880-01-01,26.58333,85.56667,"[85, 26]"
2295,Andover,Valid,L6,3200.0,1898-01-01,44.61667,-70.75,"[-70, 44]"
2296,Andreevka,Valid,L3,600.0,1969-01-01,48.7,37.5,"[37, 48]"
2298,Andura,Valid,H6,17900.0,1939-01-01,20.88333,76.86667,"[76, 20]"
2302,Angra dos Reis (stone),Valid,Angrite,1500.0,1869-01-01,-22.96667,-44.31667,"[-44, -22]"
2304,Ankober,Valid,H4,6500.0,1942-01-01,9.53333,39.71667,"[39, 9]"
2305,Anlong,Valid,H5,2500.0,1971-01-01,25.15,105.18333,"[105, 25]"
2313,Aomori,Valid,L6,320.0,1984-01-01,40.81056,140.78556,"[140, 40]"
2318,Appley Bridge,Valid,LL6,15000.0,1914-01-01,53.58333,-2.71667,"[-2, 53]"
2320,Apt,Valid,L6,3200.0,1803-01-01,43.86667,5.38333,"[5, 43]"
2325,Arbol Solo,Valid,H5,810.0,1954-01-01,-33.0,-66.0,"[-66, -33]"
2329,Archie,Valid,H6,5070.0,1932-01-01,38.5,-94.3,"[-94, 38]"
2340,Arroyo Aguiar,Valid,H5,7450.0,1950-01-01,-31.41667,-60.66667,"[-60, -31]"
2345,Asco,Valid,H6,41.0,1805-01-01,42.45,9.03333,"[9, 42]"
48954,Ash Creek,Valid,L6,9500.0,2009-01-01,31.805,-97.01,"[-97, 31]"
2346,Ashdon,Valid,L6,1300.0,1923-01-01,52.05,0.3,"[0, 52]"
2353,Assisi,Valid,H5,2000.0,1886-01-01,43.03333,12.55,"[12, 43]"
4883,Atarra,Valid,L4,1280.0,1920-01-01,25.25417,80.625,"[80, 25]"
4884,Atemajac,Valid,L6,94.2,1896-01-01,20.06667,-103.66667,"[-103, 20]"
4885,Athens,Valid,LL6,265.0,1933-01-01,34.75,-87.0,"[-87, 34]"
4888,Atoka,Valid,L6,1384.2,1945-01-01,34.31667,-96.15,"[-96, 34]"
4893,Aubres,Valid,Aubrite,800.0,1836-01-01,44.38333,5.16667,"[5, 44]"
4899,Aumale,Valid,L6,50000.0,1865-01-01,36.16667,3.66667,"[3, 36]"
4900,Aumieres,Valid,L6,2000.0,1842-01-01,44.33333,3.23333,"[3, 44]"
4903,Ausson,Valid,L5,50000.0,1858-01-01,43.08333,0.58333,"[0, 43]"
4905,Avanhandava,Valid,H4,9330.0,1952-01-01,-21.46028,-49.95083,"[-49, -21]"
4906,Avce,Valid,"Iron, IIAB",1230.0,1908-01-01,46.0,13.5,"[13, 46]"
4907,Avilez,Valid,H,146.0,1855-01-01,25.0,-103.5,"[-103, 25]"
4910,Awere,Valid,L4,134.0,1968-01-01,2.71667,32.83333,"[32, 2]"
4913,Aztec,Valid,L6,2830.0,1938-01-01,36.8,-108.0,"[-108, 36]"
4917,Bachmut,Valid,L6,18000.0,1814-01-01,48.6,38.0,"[38, 48]"
4922,Bahjoi,Valid,"Iron, IAB-sLL",10322.0,1934-01-01,28.48333,78.5,"[78, 28]"
4925,Bald Mountain,Valid,L4,3700.0,1929-01-01,35.96667,-82.48333,"[-82, 35]"
4926,Baldwyn,Valid,L6,345.0,1922-01-01,34.5,-88.66667,"[-88, 34]"
4928,Bali,Valid,CV3,1000.0,1907-01-01,5.38333,16.38333,"[16, 5]"
4934,Ban Rong Du,Valid,"Iron, ungrouped",16700.0,1993-01-01,16.66667,101.18333,"[101, 16]"
